Tamanho,Ordem,Insercoes,Remocoes,Balanceamentos
100,1,100,20,68
500,1,500,103,363
1000,1,1000,212,738
2000,1,2000,416,1484
4000,1,4000,829,2988
6000,1,6000,1241,4465
8000,1,8000,1666,5948
10000,1,10000,2082,7470
100,5,100,40,13
500,5,500,200,69
1000,5,1000,400,142
2000,5,2000,797,286
4000,5,4000,1600,578
6000,5,6000,2389,874
8000,5,8000,3186,1163
10000,5,10000,3989,1448
100,10,100,45,5
500,10,500,224,33
1000,10,1000,445,68
2000,10,2000,889,141
4000,10,4000,1779,286
6000,10,6000,2668,437
8000,10,8000,3558,577
10000,10,10000,4446,725
